	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116	2117	2118	2119	2120	2121	2122	2123	2124	2125	2126	2127	2128	2129	2130	2131	2132	2133	2134	2135	2136	2137	2138	2139	2140	2141	2142	2143	2144	2145	2146	2147	2148	2149	2150	2151	2152	2153	2154	2155	2156	2157	2158	2159	2160	2161	2162	2163	2164	2165	2166	2167	2168	2169	2170	2171	2172	2173	2174	2175	2176	2177	2178	2179	2180	2181	2182	2183	2184
0	0.0022176072	0.0021069376	0.002001799	0.0019019145	0.0018070215	0.00171687	0.001631223	0.0015498551	0.0014725521	0.0013991108	0.001329338	0.0012630502	0.001200073	0.0011402409	0.0010833966	0.0010293905	0.0009780809	0.0009293328	0.0008830182	0.0008390154	0.0007972088	0.0007574887	0.0007197506	0.0006838956	0.0006498295	0.000617463	0.000586711	0.000557493	0.0005297322	0.0005033559	0.0004782949	0.0004544836	0.0004318594	0.0004103631	0.0003899384	0.0003705318	0.0003520924	0.000334572	0.0003179246	0.0003021068	0.0002870771	0.0002727961	0.0002592266	0.0002463329	0.0002340815	0.0002224402	0.0002113786	0.0002008678	0.0001908804	0.0001813902	0.0001723724	0.0001638036	0.0001556612	0.0001479241	0.0001405721	0.0001335859	0.0001269473	0.0001206391	0.0001146446	0.0001089484	0.0001035356	0.000098392	0.0000935042	0.0000888595	0.0000844457	0.0000802515	0.0000762658	0.0000724783	0.000068879	0.0000654587	0.0000622084	0.0000591197	0.0000561845	0.0000533952	0.0000507445	0.0000482255	0.0000458316	0.0000435568	0.0000413949	0.0000393404	0.0000373881	0.0000355326	0.0000337694	0.0000320937	0.0000305013	0.0000289879	0.0000275497	0.0000261829	0.000024884	0.0000236496	0.0000224764	0.0000213615	0.000020302	0.000019295	0.0000183381	0.0000174286	0.0000165643	0.0000157428	0.0000149622	0.0000142202	0.0000135151	0.000012845	0.0000122082	0.0000116029	0.0000110276	0.0000104809	0.0000099614	0.0000094676	0.0000089983	0.0000085522	0.0000081283	0.0000077255	0.0000073426	0.0000069787	0.0000066328	0.0000063041	0.0000059917	0.0000056948	0.0000054126	0.0000051444	0.0000048895	0.0000046472	0.0000044169	0.0000041981	0.0000039901	0.0000037924	0.0000036045	0.000003426	0.0000032563	0.0000030949	0.0000029416	0.0000027959	0.0000026574	0.0000025258	0.0000024007	0.0000022818	0.0000021688	0.0000020614	0.0000019593	0.0000018622	0.00000177	0.0000016824	0.0000015991	0.0000015199	0.0000014446	0.0000013731	0.0000013051	0.0000012405	0.000001179	0.0000011207	0.0000010652	0.0000010124	0.0000009623	0.0000009147	0.0000008694	0.0000008264	0.0000007854	0.0000007466	0.0000007096	0.0000006745	0.0000006411	0.0000006094	0.0000005792	0.0000005505	0.0000005233	0.0000004974	0.0000004728	0.0000004494	0.0000004271	0.000000406	0.0000003859
1	0.0002355794	0.0002256879	0.0002162111	0.0002071318	0.0001984332	0.0001900994	0.0001821152	0.0001744658	0.0001671374	0.0001601163	0.0001533899	0.0001469457	0.0001407719	0.0001348571	0.0001291906	0.0001237619	0.0001185611	0.0001135786	0.0001088052	0.0001042323	0.0000998513	0.0000956542	0.0000916334	0.0000877814	0.0000840912	0.000080556	0.0000771692	0.0000739247	0.0000708164	0.0000678388	0.0000649862	0.0000622534	0.0000596355	0.0000571275	0.0000547249	0.0000524233	0.0000502184	0.0000481062	0.0000460827	0.0000441443	0.0000422873	0.0000405084	0.0000388042	0.0000371717	0.0000356079	0.0000341097	0.0000326746	0.0000312997	0.0000299827	0.0000287211	0.0000275125	0.0000263547	0.0000252457	0.0000241832	0.0000231655	0.0000221905	0.0000212565	0.0000203619	0.0000195048	0.0000186838	0.0000178974	0.000017144	0.0000164223	0.000015731	0.0000150688	0.0000144344	0.0000138267	0.0000132446	0.000012687	0.0000121528	0.0000116412	0.000011151	0.0000106815	0.0000102317	0.0000098009	0.0000093882	0.0000089928	0.0000086141	0.0000082514	0.0000079039	0.000007571	0.0000072522	0.0000069468	0.0000066542	0.0000063739	0.0000061055	0.0000058483	0.000005602	0.000005366	0.00000514	0.0000049235	0.0000047161	0.0000045174	0.0000043271	0.0000041449	0.0000039702	0.000003803	0.0000036428	0.0000034893	0.0000033423	0.0000032015	0.0000030666	0.0000029374	0.0000028137	0.0000026951	0.0000025816	0.0000024728	0.0000023686	0.0000022688	0.0000021732	0.0000020816	0.0000019939	0.0000019099	0.0000018294	0.0000017523	0.0000016785	0.0000016077	0.00000154	0.0000014751	0.0000014129	0.0000013534	0.0000012963	0.0000012417	0.0000011894	0.0000011393	0.0000010912	0.0000010452	0.0000010012	0.000000959	0.0000009186	0.0000008799	0.0000008428	0.0000008073	0.0000007732	0.0000007406	0.0000007094	0.0000006795	0.0000006509	0.0000006234	0.0000005972	0.000000572	0.0000005479	0.0000005248	0.0000005027	0.0000004815	0.0000004612	0.0000004417	0.0000004231	0.0000004053	0.0000003882	0.0000003718	0.0000003561	0.0000003411	0.0000003268	0.000000313	0.0000002998	0.0000002871	0.000000275	0.0000002634	0.0000002523	0.0000002417	0.0000002315	0.0000002217	0.0000002124	0.0000002034	0.0000001949	0.0000001866	0.0000001788	0.0000001712	0.000000164	0.0000001571
2	0.0001471768	0.0001406416	0.0001343966	0.000128429	0.0001227264	0.000117277	0.0001120696	0.0001070934	0.0001023382	0.0000977942	0.000093452	0.0000893026	0.0000853374	0.0000815484	0.0000779275	0.0000744675	0.0000711611	0.0000680016	0.0000649823	0.0000620971	0.00005934	0.0000567054	0.0000541877	0.0000517818	0.0000494828	0.0000472858	0.0000451864	0.0000431802	0.0000412631	0.0000394311	0.0000376805	0.0000360076	0.000034409	0.0000328813	0.0000314215	0.0000300265	0.0000286934	0.0000274196	0.0000262022	0.000025039	0.0000239274	0.0000228651	0.00002185	0.00002088	0.000019953	0.0000190672	0.0000182207	0.0000174119	0.0000166389	0.0000159002	0.0000151943	0.0000145198	0.0000138752	0.0000132593	0.0000126707	0.0000121082	0.0000115707	0.000011057	0.0000105662	0.0000100971	0.0000096489	0.0000092206	0.0000088112	0.0000084201	0.0000080463	0.0000076891	0.0000073478	0.0000070216	0.0000067099	0.0000064121	0.0000061274	0.0000058554	0.0000055955	0.0000053471	0.0000051098	0.000004883	0.0000046662	0.0000044591	0.0000042611	0.000004072	0.0000038912	0.0000037185	0.0000035535	0.0000033957	0.000003245	0.000003101	0.0000029633	0.0000028318	0.0000027061	0.000002586	0.0000024712	0.0000023615	0.0000022567	0.0000021565	0.0000020608	0.0000019693	0.0000018819	0.0000017984	0.0000017185	0.0000016423	0.0000015694	0.0000014997	0.0000014331	0.0000013695	0.0000013087	0.0000012506	0.0000011951	0.0000011421	0.0000010914	0.000001043	0.0000009967	0.0000009524	0.0000009102	0.0000008698	0.0000008312	0.0000007943	0.000000759	0.0000007253	0.0000006931	0.0000006624	0.000000633	0.0000006049	0.000000578	0.0000005524	0.0000005279	0.0000005044	0.000000482	0.0000004606	0.0000004402	0.0000004207	0.000000402	0.0000003841	0.0000003671	0.0000003508	0.0000003352	0.0000003204	0.0000003061	0.0000002925	0.0000002796	0.0000002672	0.0000002553	0.000000244	0.0000002331	0.0000002228	0.0000002129	0.0000002035	0.0000001944	0.0000001858	0.0000001775	0.0000001697	0.0000001621	0.0000001549	0.0000001481	0.0000001415	0.0000001352	0.0000001292	0.0000001235	0.000000118	0.0000001128	0.0000001078	0.000000103	0.0000000984	0.000000094	0.0000000899	0.0000000859	0.0000000821	0.0000000784	0.0000000749	0.0000000716	0.0000000684	0.0000000654
3	0.0001026939	0.000097879	0.0000932897	0.0000889155	0.0000847463	0.0000807724	0.0000769849	0.0000733748	0.000069934	0.0000666545	0.0000635287	0.0000605494	0.0000577097	0.0000550032	0.0000524236	0.0000499649	0.0000476215	0.0000453879	0.0000432591	0.0000412301	0.0000392962	0.000037453	0.0000356962	0.0000340217	0.0000324258	0.0000309048	0.000029455	0.0000280733	0.0000267563	0.0000255011	0.0000243048	0.0000231646	0.0000220778	0.0000210421	0.0000200549	0.0000191139	0.0000182172	0.0000173625	0.0000165478	0.0000157714	0.0000150314	0.0000143262	0.000013654	0.0000130133	0.0000124027	0.0000118207	0.000011266	0.0000107374	0.0000102335	0.0000097533	0.0000092957	0.0000088594	0.0000084437	0.0000080475	0.0000076698	0.0000073099	0.0000069668	0.0000066399	0.0000063283	0.0000060313	0.0000057482	0.0000054784	0.0000052213	0.0000049763	0.0000047427	0.0000045201	0.000004308	0.0000041058	0.0000039131	0.0000037294	0.0000035544	0.0000033875	0.0000032285	0.000003077	0.0000029326	0.0000027949	0.0000026637	0.0000025387	0.0000024195	0.000002306	0.0000021977	0.0000020946	0.0000019962	0.0000019025	0.0000018132	0.0000017281	0.000001647	0.0000015697	0.000001496	0.0000014258	0.0000013588	0.000001295	0.0000012342	0.0000011763	0.0000011211	0.0000010685	0.0000010183	0.0000009705	0.0000009249	0.0000008815	0.0000008401	0.0000008007	0.0000007631	0.0000007273	0.0000006931	0.0000006606	0.0000006296	0.0000006	0.0000005718	0.000000545	0.0000005194	0.000000495	0.0000004718	0.0000004496	0.0000004285	0.0000004084	0.0000003892	0.0000003709	0.0000003535	0.0000003369	0.0000003211	0.000000306	0.0000002917	0.000000278	0.0000002649	0.0000002525	0.0000002406	0.0000002293	0.0000002186	0.0000002083	0.0000001985	0.0000001892	0.0000001803	0.0000001718	0.0000001638	0.0000001561	0.0000001488	0.0000001418	0.0000001351	0.0000001288	0.0000001227	0.000000117	0.0000001115	0.0000001062	0.0000001012	0.0000000965	0.000000092	0.0000000876	0.0000000835	0.0000000796	0.0000000759	0.0000000723	0.0000000689	0.0000000657	0.0000000626	0.0000000596	0.0000000568	0.0000000542	0.0000000516	0.0000000492	0.0000000469	0.0000000447	0.0000000426	0.0000000406	0.0000000387	0.0000000369	0.0000000351	0.0000000335	0.0000000319	0.0000000304	0.000000029
4	0.000072172	0.0000684856	0.0000649875	0.000061668	0.000058518	0.0000555288	0.0000526923	0.0000500007	0.0000474465	0.0000450227	0.0000427227	0.0000405402	0.0000384692	0.0000365039	0.000034639	0.0000328693	0.0000311901	0.0000295966	0.0000280845	0.0000266496	0.0000252881	0.000023996	0.00002277	0.0000216066	0.0000205026	0.0000194551	0.000018461	0.0000175177	0.0000166226	0.0000157732	0.0000149673	0.0000142025	0.0000134767	0.0000127881	0.0000121346	0.0000115145	0.0000109261	0.0000103678	0.000009838	0.0000093352	0.0000088582	0.0000084055	0.0000079759	0.0000075683	0.0000071816	0.0000068145	0.0000064663	0.0000061358	0.0000058222	0.0000055247	0.0000052423	0.0000049744	0.0000047202	0.0000044789	0.00000425	0.0000040328	0.0000038267	0.0000036311	0.0000034455	0.0000032694	0.0000031023	0.0000029437	0.0000027933	0.0000026505	0.000002515	0.0000023865	0.0000022645	0.0000021488	0.0000020389	0.0000019347	0.0000018358	0.000001742	0.0000016529	0.0000015684	0.0000014883	0.0000014122	0.00000134	0.0000012715	0.0000012065	0.0000011448	0.0000010863	0.0000010308	0.0000009781	0.0000009281	0.0000008806	0.0000008356	0.0000007929	0.0000007524	0.0000007139	0.0000006774	0.0000006428	0.0000006099	0.0000005788	0.0000005492	0.0000005211	0.0000004945	0.0000004692	0.0000004452	0.0000004224	0.0000004008	0.0000003803	0.0000003609	0.0000003424	0.0000003249	0.0000003083	0.0000002926	0.0000002776	0.0000002634	0.0000002499	0.0000002372	0.000000225	0.0000002135	0.0000002026	0.0000001923	0.0000001824	0.0000001731	0.0000001643	0.0000001559	0.0000001479	0.0000001403	0.0000001332	0.0000001263	0.0000001199	0.0000001138	0.0000001079	0.0000001024	0.0000000972	0.0000000922	0.0000000875	0.000000083	0.0000000788	0.0000000748	0.0000000709	0.0000000673	0.0000000639	0.0000000606	0.0000000575	0.0000000546	0.0000000518	0.0000000491	0.0000000466	0.0000000442	0.000000042	0.0000000398	0.0000000378	0.0000000359	0.000000034	0.0000000323	0.0000000306	0.0000000291	0.0000000276	0.0000000262	0.0000000248	0.0000000236	0.0000000224	0.0000000212	0.0000000201	0.0000000191	0.0000000181	0.0000000172	0.0000000163	0.0000000155	0.0000000147	0.0000000139	0.0000000132	0.0000000125	0.0000000119	0.0000000113	0.0000000107	0.0000000102	0.0000000097
5	0.0000694325	0.0000658076	0.0000623721	0.0000591161	0.0000560301	0.0000531053	0.0000503333	0.0000477061	0.0000452161	0.0000428561	0.0000406193	0.0000384994	0.0000364902	0.0000345858	0.0000327809	0.0000310703	0.000029449	0.0000279123	0.0000264558	0.0000250754	0.0000237671	0.000022527	0.0000213517	0.0000202377	0.0000191819	0.0000181812	0.0000172327	0.0000163337	0.0000154816	0.000014674	0.0000139086	0.0000131831	0.0000124954	0.0000118437	0.0000112259	0.0000106404	0.0000100855	0.0000095595	0.0000090609	0.0000085884	0.0000081405	0.0000077159	0.0000073136	0.0000069322	0.0000065707	0.000006228	0.0000059033	0.0000055955	0.0000053037	0.0000050272	0.000004765	0.0000045166	0.0000042811	0.0000040579	0.0000038463	0.0000036458	0.0000034557	0.0000032756	0.0000031048	0.0000029429	0.0000027895	0.0000026441	0.0000025063	0.0000023756	0.0000022518	0.0000021344	0.0000020232	0.0000019177	0.0000018177	0.000001723	0.0000016332	0.0000015481	0.0000014674	0.0000013909	0.0000013184	0.0000012497	0.0000011846	0.0000011228	0.0000010643	0.0000010088	0.0000009563	0.0000009064	0.0000008592	0.0000008144	0.000000772	0.0000007317	0.0000006936	0.0000006575	0.0000006232	0.0000005907	0.0000005599	0.0000005308	0.0000005031	0.0000004769	0.000000452	0.0000004285	0.0000004062	0.000000385	0.0000003649	0.0000003459	0.0000003279	0.0000003108	0.0000002946	0.0000002793	0.0000002647	0.0000002509	0.0000002379	0.0000002255	0.0000002137	0.0000002026	0.000000192	0.000000182	0.0000001725	0.0000001636	0.000000155	0.000000147	0.0000001393	0.000000132	0.0000001252	0.0000001186	0.0000001125	0.0000001066	0.0000001011	0.0000000958	0.0000000908	0.0000000861	0.0000000816	0.0000000773	0.0000000733	0.0000000695	0.0000000659	0.0000000624	0.0000000592	0.0000000561	0.0000000532	0.0000000504	0.0000000478	0.0000000453	0.0000000429	0.0000000407	0.0000000386	0.0000000366	0.0000000347	0.0000000329	0.0000000312	0.0000000295	0.000000028	0.0000000265	0.0000000252	0.0000000238	0.0000000226	0.0000000214	0.0000000203	0.0000000192	0.0000000182	0.0000000173	0.0000000164	0.0000000155	0.0000000147	0.000000014	0.0000000132	0.0000000125	0.0000000119	0.0000000113	0.0000000107	0.0000000101	0.0000000096	0.0000000091	0.0000000086	0.0000000082	0.0000000078
6	0.0000586571	0.0000555637	0.0000526335	0.0000498578	0.0000472285	0.0000447379	0.0000423786	0.0000401437	0.0000380267	0.0000360213	0.0000341217	0.0000323223	0.0000306177	0.0000290031	0.0000274736	0.0000260248	0.0000246524	0.0000233523	0.0000221208	0.0000209543	0.0000198493	0.0000188025	0.000017811	0.0000168717	0.000015982	0.0000151392	0.0000143408	0.0000135846	0.0000128682	0.0000121896	0.0000115468	0.0000109379	0.0000103611	0.0000098147	0.0000092971	0.0000088069	0.0000083424	0.0000079025	0.0000074858	0.000007091	0.0000067171	0.0000063629	0.0000060274	0.0000057095	0.0000054084	0.0000051232	0.0000048531	0.0000045971	0.0000043547	0.0000041251	0.0000039076	0.0000037015	0.0000035063	0.0000033214	0.0000031463	0.0000029804	0.0000028232	0.0000026743	0.0000025333	0.0000023997	0.0000022732	0.0000021533	0.0000020398	0.0000019322	0.0000018303	0.0000017338	0.0000016424	0.0000015558	0.0000014737	0.000001396	0.0000013224	0.0000012527	0.0000011866	0.000001124	0.0000010648	0.0000010086	0.0000009554	0.0000009051	0.0000008573	0.0000008121	0.0000007693	0.0000007287	0.0000006903	0.0000006539	0.0000006194	0.0000005868	0.0000005558	0.0000005265	0.0000004988	0.0000004725	0.0000004475	0.0000004239	0.0000004016	0.0000003804	0.0000003604	0.0000003413	0.0000003233	0.0000003063	0.0000002901	0.0000002748	0.0000002604	0.0000002466	0.0000002336	0.0000002213	0.0000002096	0.0000001986	0.0000001881	0.0000001782	0.0000001688	0.0000001599	0.0000001515	0.0000001435	0.0000001359	0.0000001287	0.000000122	0.0000001155	0.0000001094	0.0000001037	0.0000000982	0.000000093	0.0000000881	0.0000000835	0.0000000791	0.0000000749	0.0000000709	0.0000000672	0.0000000637	0.0000000603	0.0000000571	0.0000000541	0.0000000513	0.0000000486	0.000000046	0.0000000436	0.0000000413	0.0000000391	0.000000037	0.0000000351	0.0000000332	0.0000000315	0.0000000298	0.0000000282	0.0000000268	0.0000000253	0.000000024	0.0000000227	0.0000000215	0.0000000204	0.0000000193	0.0000000183	0.0000000173	0.0000000164	0.0000000156	0.0000000147	0.000000014	0.0000000132	0.0000000125	0.0000000119	0.0000000112	0.0000000107	0.0000000101	0.0000000096	0.0000000091	0.0000000086	0.0000000081	0.0000000077	0.0000000073	0.0000000069	0.0000000065	0.0000000062	0.0000000059
7	0.0000576382	0.0000546305	0.0000517799	0.0000490781	0.0000465173	0.0000440901	0.0000417896	0.0000396092	0.0000375426	0.0000355838	0.0000337273	0.0000319676	0.0000302998	0.000028719	0.0000272207	0.0000258006	0.0000244546	0.0000231788	0.0000219696	0.0000208235	0.0000197372	0.0000187076	0.0000177317	0.0000168067	0.00001593	0.0000150991	0.0000143114	0.0000135649	0.0000128574	0.0000121867	0.000011551	0.0000109485	0.0000103775	0.0000098362	0.0000093232	0.0000088369	0.000008376	0.0000079391	0.0000075251	0.0000071326	0.0000067606	0.000006408	0.0000060738	0.000005757	0.0000054568	0.0000051722	0.0000049025	0.0000046468	0.0000044045	0.0000041748	0.000003957	0.0000037507	0.0000035551	0.0000033697	0.000003194	0.0000030274	0.0000028696	0.0000027199	0.0000025781	0.0000024436	0.0000023162	0.0000021954	0.000002081	0.0000019725	0.0000018696	0.0000017721	0.0000016797	0.0000015921	0.0000015091	0.0000014304	0.0000013558	0.0000012851	0.0000012181	0.0000011546	0.0000010944	0.0000010374	0.0000009833	0.000000932	0.0000008834	0.0000008374	0.0000007937	0.0000007523	0.0000007131	0.0000006759	0.0000006407	0.0000006073	0.0000005756	0.0000005456	0.0000005172	0.0000004902	0.0000004646	0.0000004404	0.0000004175	0.0000003957	0.0000003751	0.0000003555	0.000000337	0.0000003194	0.0000003028	0.000000287	0.000000272	0.0000002578	0.0000002444	0.0000002317	0.0000002196	0.0000002081	0.0000001973	0.000000187	0.0000001772	0.000000168	0.0000001593	0.0000001509	0.0000001431	0.0000001356	0.0000001286	0.0000001219	0.0000001155	0.0000001095	0.0000001038	0.0000000984	0.0000000932	0.0000000884	0.0000000838	0.0000000794	0.0000000753	0.0000000713	0.0000000676	0.0000000641	0.0000000608	0.0000000576	0.0000000546	0.0000000517	0.000000049	0.0000000465	0.0000000441	0.0000000418	0.0000000396	0.0000000375	0.0000000356	0.0000000337	0.000000032	0.0000000303	0.0000000287	0.0000000272	0.0000000258	0.0000000245	0.0000000232	0.000000022	0.0000000208	0.0000000197	0.0000000187	0.0000000177	0.0000000168	0.0000000159	0.0000000151	0.0000000143	0.0000000136	0.0000000129	0.0000000122	0.0000000116	0.000000011	0.0000000104	0.0000000098	0.0000000093	0.0000000088	0.0000000084	0.0000000079	0.0000000075	0.0000000071	0.0000000068	0.0000000064
8	0.0000588584	0.000056045	0.0000533661	0.0000508151	0.0000483861	0.0000460731	0.0000438705	0.0000417733	0.0000397762	0.0000378746	0.0000360638	0.0000343395	0.0000326977	0.0000311343	0.0000296457	0.0000282281	0.0000268784	0.0000255931	0.0000243693	0.0000232039	0.0000220943	0.0000210377	0.0000200316	0.0000190736	0.0000181614	0.0000172928	0.0000164658	0.0000156783	0.0000149284	0.0000142144	0.0000135345	0.0000128871	0.0000122707	0.0000116837	0.0000111248	0.0000105927	0.000010086	0.0000096035	0.0000091441	0.0000087066	0.0000082901	0.0000078935	0.0000075159	0.0000071563	0.0000068139	0.0000064879	0.0000061775	0.000005882	0.0000056005	0.0000053326	0.0000050774	0.0000048345	0.0000046032	0.0000043829	0.0000041732	0.0000039735	0.0000037834	0.0000036023	0.0000034299	0.0000032658	0.0000031095	0.0000029607	0.000002819	0.0000026841	0.0000025557	0.0000024334	0.0000023169	0.000002206	0.0000021005	0.0000019999	0.0000019042	0.0000018131	0.0000017263	0.0000016437	0.000001565	0.0000014901	0.0000014188	0.0000013509	0.0000012862	0.0000012247	0.000001166	0.0000011102	0.0000010571	0.0000010065	0.0000009583	0.0000009124	0.0000008688	0.0000008272	0.0000007876	0.0000007499	0.000000714	0.0000006798	0.0000006473	0.0000006163	0.0000005868	0.0000005587	0.0000005319	0.0000005065	0.0000004822	0.0000004591	0.0000004372	0.0000004162	0.0000003963	0.0000003773	0.0000003593	0.0000003421	0.0000003257	0.0000003101	0.0000002952	0.0000002811	0.0000002677	0.0000002548	0.0000002426	0.000000231	0.00000022	0.0000002094	0.0000001994	0.0000001899	0.0000001808	0.0000001721	0.0000001639	0.000000156	0.0000001486	0.0000001414	0.0000001347	0.0000001282	0.0000001221	0.0000001162	0.0000001107	0.0000001054	0.0000001003	0.0000000955	0.0000000909	0.0000000866	0.0000000824	0.0000000785	0.0000000747	0.0000000712	0.0000000678	0.0000000645	0.0000000614	0.0000000585	0.0000000557	0.000000053	0.0000000505	0.0000000481	0.0000000458	0.0000000436	0.0000000415	0.0000000395	0.0000000376	0.0000000358	0.0000000341	0.0000000325	0.0000000309	0.0000000294	0.000000028	0.0000000267	0.0000000254	0.0000000242	0.000000023	0.0000000219	0.0000000209	0.0000000199	0.0000000189	0.000000018	0.0000000171	0.0000000163	0.0000000155	0.0000000148	0.0000000141
9	0.0000537847	0.00005123	0.0000487966	0.0000464788	0.000044271	0.000042168	0.0000401649	0.0000382569	0.0000364395	0.0000347084	0.0000330595	0.0000314889	0.0000299929	0.0000285679	0.0000272106	0.0000259178	0.0000246864	0.0000235135	0.0000223963	0.0000213321	0.0000203185	0.000019353	0.0000184334	0.0000175575	0.0000167232	0.0000159285	0.0000151716	0.0000144506	0.0000137639	0.0000131098	0.0000124868	0.0000118934	0.0000113282	0.0000107898	0.000010277	0.0000097886	0.0000093233	0.0000088802	0.0000084582	0.0000080562	0.0000076733	0.0000073085	0.0000069612	0.0000066303	0.0000063151	0.000006015	0.000005729	0.0000054567	0.0000051973	0.0000049503	0.000004715	0.0000044908	0.0000042774	0.000004074	0.0000038804	0.0000036959	0.0000035202	0.0000033529	0.0000031935	0.0000030416	0.000002897	0.0000027593	0.0000026281	0.0000025032	0.0000023842	0.0000022708	0.0000021629	0.00000206	0.0000019621	0.0000018688	0.00000178	0.0000016953	0.0000016147	0.0000015379	0.0000014648	0.0000013952	0.0000013288	0.0000012657	0.0000012055	0.0000011482	0.0000010936	0.0000010416	0.000000992	0.0000009449	0.0000008999	0.0000008571	0.0000008164	0.0000007776	0.0000007406	0.0000007054	0.0000006718	0.0000006399	0.0000006095	0.0000005805	0.0000005529	0.0000005266	0.0000005015	0.0000004777	0.000000455	0.0000004333	0.0000004127	0.0000003931	0.0000003744	0.0000003566	0.0000003396	0.0000003235	0.0000003081	0.0000002935	0.0000002795	0.0000002662	0.0000002535	0.0000002415	0.00000023	0.0000002191	0.0000002086	0.0000001987	0.0000001893	0.0000001803	0.0000001717	0.0000001635	0.0000001557	0.0000001483	0.0000001413	0.0000001346	0.0000001282	0.0000001221	0.0000001163	0.0000001107	0.0000001055	0.0000001005	0.0000000957	0.0000000911	0.0000000868	0.0000000827	0.0000000787	0.000000075	0.0000000714	0.000000068	0.0000000648	0.0000000617	0.0000000588	0.000000056	0.0000000533	0.0000000508	0.0000000484	0.0000000461	0.0000000439	0.0000000418	0.0000000398	0.0000000379	0.0000000361	0.0000000344	0.0000000327	0.0000000312	0.0000000297	0.0000000283	0.0000000269	0.0000000257	0.0000000244	0.0000000233	0.0000000222	0.0000000211	0.0000000201	0.0000000192	0.0000000182	0.0000000174	0.0000000166	0.0000000158	0.000000015	0.0000000143	0.0000000136
